Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus (CFU) 	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	113	North Kihei	NMS	CK	DG	AH	NMH	NMH240509		Maalaea Harbor	2024-05-09	7:50	3	5	5	3	7					NMH240509	24.8	35.7	6.63	97.3	8.12	1.61	1.61	1.53	1.58	0.029				N	0	0	0	Water line low. Getting breezy (5+ knots). Calm water. Clearish water. 4th turbidity reading = 1.61.
yes	yes	yes	no	no	113	North Kihei	NMS	CK	DG	AH	NMC	NMC240509		Maalaea Condos	2024-05-09	8:15	3	5	5	3	7					NMC240509	25.1	34.8	7.49	109.8	8.13	5.73	5.02	5.00	5.25	0.079				N	0	1	0	Tide very low. Less limu than before. No wind. Waves breaking at surfbreak (5ft). Clear water. 2nd DO reading, confirmed values. Turbidity vial has large particulates and flakes. 4th turbidity reading = 5.73. 5th turbidity reading = 3.75. 6th turbidity reading = 5.02. 
yes	yes	yes	no	no	113	North Kihei	NMS	CK	DG	AH	NHP	NHP240509		Haycraft Park	2024-05-09	8:32	3	5	5	3	7					NHP240509	24.9	35.6	7.11	104.4	8.09	10.50	9.43	9.88	9.94	0.054				N	2	8	0	Shorebreak. Low tide. Seaweed on beach and floating. Brown water patches to 100ft offshore to the west of the sample site. Lots of particulates in the turbidity vial. 4th turbidity reading = 10.5.
yes	yes	yes	no	no	113	North Kihei	NMS	CK	DG	AH	NKP	NKP240509		Kealia Pond	2024-05-09	9:00	3	5	5	3	7					NKP240509	25.2	36.2	7.00	103.8	8.11	2.10	1.91	2.15	2.05	0.062				N	0	6	0	Small shorebreak, 1-2ft. Clear water. Light wind. Gnats in parking lot. Sunny, hot. No wind. 
yes	yes	yes	no	no	113	North Kihei	NMS	CK	DG	AH	NKC	NKC240509		Kihei Canoe Club	2024-05-09	9:19	3	5	5	3	7					NKC240509	25.9	35.6	6.89	103.1	8.02	17.30	20.50	18.20	18.67	0.088				N	0	2	0	Very brown water. Medium shorebreak (2-3ft). Large catamaran offshore. Sunny. Breezy. Fine brown particulates in the turbidity vial. 4th turbidity reading = 17.3.
yes	yes	yes	no	no	113	North Kihei	NMS	CK	DG		NKN	NKN240509		Kalepolepo North	2024-05-09	9:34	3	5	5	3	7					NKN240509	25.8	33.8	6.59	97.8	8.02	5.83	5.83	5.65	5.77	0.018				N	0	0	0	Large brown water patches. 1-2ft shorebreak. No wind. Sunny, hot. Beach pond getting lower. 
yes	yes	yes	no	no	114	North Kihei	NMS	CK	KG	AH	NMH	NMH240530		Maalaea Harbor	2024-05-30	7:55	4	2	6	4	10					NMH240530	24.9	35.7	6.42	93.9	8.05	1.53	1.62	1.48	1.54	0.046				N	0	0	0	Tide was -0.0ft low at 4:26am, 1.2ft high at 11:00am. Crazy trade winds. Partly sunny. Pretty clear water. 4th turbidity reading = 1.48.
yes	yes	yes	no	no	114	North Kihei	NMS	CK	KG	AH	NMC	NMC240530		Maalaea Condos	2024-05-30	8:20	4	2	6	4	10					NMC240530	24.9	34.0	7.93	115.0	8.09	1.31	1.34	1.44	1.36	0.050				N	0	0	0	Tide was -0.0ft low at 4:26am, 1.2ft high at 11:00am. Low tide. Very windy. <1ft waves. Clear water. Sunny, partly cloudy. Water felt cold.
yes	yes	yes	no	no	114	North Kihei	NMS	CK	KG	AH	NHP	NHP240530		Haycraft Park	2024-05-30	8:47	4	2	6	4	10					NHP240530	25.4	35.6	7.31	108.1	8.10	1.79	1.92	1.80	1.84	0.039				N	1	3	0	Tide was -0.0ft low at 4:26am, 1.2ft high at 11:00am. Moderate trade winds. <1ft waves. Very clear water. Low tide, rising. Sunny, partly cloudy. School of little fish at feet while sampling. Read DO 2x, confirmed values. 4th turbidity reading = 1.92.
yes	yes	yes	no	no	114	North Kihei	NMS	CK	KG	AH	NKP	NKP240530		Kealia Pond	2024-05-30	9:15	4	2	6	4	10					NKP240530	25.5	36.4	6.79	101.1	8.11	1.39	1.49	1.59	1.49	0.067				N	0	1	0	Tide was -0.0ft low at 4:26am, 1.2ft high at 11:00am. Very windy, gusting. Sunny. Water looks clear, but sandy in patches. Low tide. 4th turbidity reading = 1.49. Read Salinity 2x = 36.3. 
yes	yes	yes	no	no	114	North Kihei	NMS	CK	KG	AH	NKC	NKC240530		Kihei Canoe Club	2024-05-30	9:35	4	2	6	4	10					NKC240530	26.6	35.8	6.70	101.3	8.06	11.80	12.60	12.20	12.20	0.033				N	0	0	0	Tide was -0.0ft low at 4:26am, 1.2ft high at 11:00am. Very brown water. Dog down the beach. Cross-wind. Freshwater pooled up in beach pond. Sunny. 4th turbidity reading = 10.1. 5th turbidity reading = 11.8.
yes	yes	yes	no	no	114	North Kihei	NMS	CK	KG	AH	NKN	NKN240530		Kalepolepo North	2024-05-30	9:55	4	2	6	4	10					NKN240530	26.2	33.9	6.85	101.6	7.97	5.17	5.21	5.37	5.25	0.020				N	0	5	0	Tide was -0.0ft low at 4:26am, 1.2ft high at 11:00am. Very windy. Very choppy. Seawall restoration ~10 people on the inside of the fishpond. Sunny. 4th turbidity reading = 5.62. 5th turbidity reading = 5.17. Read pH 2x = 7.98.
yes	yes	yes	no	no	115	North Kihei	NMS	LY_EJ	AH_DG	KG_SS	NMH	NMH240620		Maalaea Harbor	2024-06-20	8:00	3	5	5	3	7					NMH240620	24.7	35.6	6.30	91.7	8.12	1.84	1.77	1.79	1.80	0.020				N	0	0	0	Low tide at 7:58 AM, -0.15 ft, full moon tomorrow; Low tide, light clouds, strong winds.
yes	yes	yes	no	no	115	North Kihei	NMS	LY_EJ	AH_DG	KG_SS	NMC	NMC240620		Maalaea Condos	2024-06-20	8:25	3	5	5	3	7					NMC240620	25.0	33.1	9.06	131.2	8.20	1.99	2.35	2.14	2.16	0.084				N	0	0	0	Low tide at 7:58 AM, -0.15 ft, full moon tomorrow; less windy, lots of algae on rocks, calm shorebreak 0.5-1 ft; read DO 2x = 9.06 mg/L & 131.1%.
yes	yes	yes	no	no	115	North Kihei	NMS	LY_EJ	DG	KG_SS	NHP	NHP240620		Haycraft Park	2024-06-20	8:51	3	5	5	3	7					NHP240620	25.4	35.0	6.94	102.4	8.05	3.65	3.9	3.95	3.83	0.042				N	2	0	0	Low tide at 7:58 AM, -0.15 ft, full moon tomorrow; windy, small shorebreak 0.5-1 ft, sunny, 4th turbidity = 4.22, 5th turbidity = 3.95.
yes	yes	yes	no	no	115	North Kihei	NMS	LY_EJ	DG	KG_SS	NKP	NKP240620		Kealia Pond	2024-06-20	9:20	3	5	5	3	7					NKP240620	26.3	36.3	6.89	103.9	8.11	1.65	1.56	1.52	1.58	0.042				N	0	0	0	Low tide at 7:58 AM, -0.15 ft, full moon tomorrow; sunny, calm wind & shorebreak, water looks clear, turbidity taken in shorebreak with sandy wave action, 4th turbidity = 1.56.
yes	yes	yes	no	no	115	North Kihei	NMS	LY_EJ	DG	KG_SS	NKC	NKC240620		Kihei Canoe Club	2024-06-20	9:45	3	5	5	3	7					NKC240620	27.5	35.3	6.67	102.4	8.00	15.00	16.20	14.90	15.37	0.047				N	0	3	0	Low tide at 7:58 AM, -0.15 ft, full moon tomorrow; calm waters, brown water, canoe race ~ 100 yrds out as we were sampling.
yes	yes	yes	no	no	115	North Kihei	NMS	LY_EJ	DG	KG_SS	NKN	NKN240620		Kalepolepo North	2024-06-20	10:52	3	5	5	3	7					NKN240620	27.0	34.6	6.18	94.4	8.01	0.83	0.97	0.71	0.84	0.156				N	1	4	0	Low tide at 7:58 AM, -0.15 ft, full moon tomorrow; calm , clear water, sunny, hot, sample delayed and taken later than normal.
yes	yes	yes	no	no	116	North Kihei	NMS	CK	DG	KG_AH	NMH	NMH240711		Maalaea Harbor	2024-07-11	7:55	4	2	7	4	10					NMH240711	25.2	35.7	6.14	90.7	8.07	1.32	1.25	1.33	1.30	0.034				N	0	0	0	High tide. Gusting wind. Very windy. Wind-blown choppy water. Sunny. Biodiesel station being refilled in parking lot. 
yes	yes	yes	no	no	116	North Kihei	NMS	CK	DG	KG_AH	NMC	NMC240711		Maalaea Condos	2024-07-11	8:17	4	2	7	4	10					NMC240711	25.3	35.1	7.19	106.0	8.10	2.83	2.77	2.45	2.68	0.076				N	0	0	0	1-2ft shorebreak. Very windy. Little to no limu, releatively less than before. Gusting. Sunny. High tide. Few and fine micro-particulates in the turbidity vial. 4th turbidity reading = 1.93. 5th turbidity reading = 3.46. 6th turbidity reading = 2.83. 
yes	yes	yes	no	no	116	North Kihei	NMS	CK	DG	KG_AH	NHP	NHP240711		Haycraft Park	2024-07-11	8:35	4	2	7	4	10					NHP240711	25.6	35.8	6.67	99.2	8.09	6.39	6.64	7.08	6.70	0.052				N	0	0	6	5 tents, at least 6 people camping, full camp setup. Looks like stirred up sediment in water. Sunny. Steeper slope on beach. 1-2ft shorebreak. Windy / breezy. Plant debris particles in sample. 4th turbidity reading = 7.08. 5th turbidity reading = 7.22.
yes	yes	yes	no	no	116	North Kihei	NMS	CK	DG	KG_AH	NKP	NKP240711		Kealia Pond	2024-07-11	9:00	4	2	7	4	10					NKP240711	25.7	36.3	6.71	100.4	8.14	1.81	1.80	1.78	1.80	0.009				N	6	2	0	Boogy boarders and snorkelers to the right. 2-3ft shorebreak. Very windy. Sunny. Water moving fast from wind, white caps. Gusting. 4th turbidity reading = 2.25. 5th turbidity reading = 1.81. 6th turbidity reading = 1.80. 
yes	yes	yes	no	no	116	North Kihei	NMS	CK	DG	KG_AH	NKC	NKC240711		Kihei Canoe Club	2024-07-11	9:23	4	2	7	4	10					NKC240711	26.5	35.9	6.66	100.8	8.11	15.20	16.10	17.40	16.23	0.068				N	0	55	0	Very brown water nearshore. No wind. Lots of paddlers running the beach and at the hale. 2ft shorebreak. High tide. Sunny. Calm water. Dog on beach. 4th turbidity reading = 14.0. 5th turbidity reading = 11.7. 6th turbidity reading = 16.1.
yes	yes	yes	no	no	116	North Kihei	NMS	CK	DG	KG_AH	NKN	NKN240711		Kalepolepo North	2024-07-11	9:45	4	2	7	4	10					NKN240711	26.2	34.1	6.60	98.6	8.12	11.10	10.50	10.10	10.57	0.048				N	0	2	0	Very brown water nearshore. No wind / light breeze. Calm water. 1ft swell. Partly cloudy. 4th turbidity reading = 11.1.
yes	yes	yes	no	no	117	North Kihei	NMS	EJ	JW	KG_MG	NMH	NMH240801		Maalaea Harbor	2024-08-01	7:56	3	5	5	3	10					NMH240801	25.1	35.1	5.94	87.1	8.10	1.86	1.87	1.80	1.84	0.021				N	0	0	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Low tide at 6:46 am, high tide at 2:34 pm; sunny and partly cloudy; low tide sampling; pre-sample turbidity blank 3 tries to get below 0.10-wiped with cloth and oil- used spare vial; breezy, 10-15 mph trades; 4th turbidity=1.87; 5th turbidity =1.86
yes	yes	yes	no	no	117	North Kihei	NMS	EJ	JW	KG_MG	NMC	NMC240801		Maalaea Condos	2024-08-01	8:24	3	5	5	3	10					NMC240801	24.6	32.5	7.84	114.4	8.11	5.26	5.81	5.58	5.55	0.050				N	0	0	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Low tide at 6:46 am, high tide at 2:34 pm; sunny and partly cloudy; low tide sampling; pre-sample turbidity blank 3 tries to get below 0.10-wiped with cloth and oil- used spare vial; 0-0.5 ft shorebreak; little bits of algae in bucket; visible south swell on outer reef; water turbid and algae on rocks; read probes twice because DO out of range; 4th turbidity=5.58; 5th turbidity=5.26
yes	yes	yes	no	no	117	North Kihei	NMS	EJ	JW	KG_MG	NHP	NHP240801		Haycraft Park	2024-08-01	8:48	3	5	5	3	10					NHP240801	25.6	34.9	6.85	101.3	8.13	8.18	8.33	8.68	8.40	0.031				N	2	10	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Low tide at 6:46 am, high tide at 2:34 pm; sunny and partly cloudy; low tide sampling; pre-sample turbidity blank 3 tries to get below 0.10-wiped with cloth and oil- used spare vial; 0.5-1.0 ft shorebreak; light breeze; water is fairly clear; 4th turbidity=8.18
yes	yes	yes	no	no	117	North Kihei	NMS	EJ	JW	KG_MG	NKP	NKP240801		Kealia Pond	2024-08-01	9:10	3	5	5	3	10					NKP240801	25.5	35.6	6.79	100.3	8.14	1.27	1.3	1.31	1.29	0.016				N	0	2	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Low tide at 6:46 am, high tide at 2:34 pm; sunny and partly cloudy; low tide sampling; pre-sample turbidity blank 3 tries to get below 0.10-wiped with cloth and oil- used spare vial; 0.5-1.0 ft shorebreak; breezy; water mostly clear; 4th turbidity= 1.31
yes	yes	yes	no	no	117	North Kihei	NMS	EJ	JW	KG_MG	NKC	NKC240801		Kihei Canoe Club	2024-08-01	9:30	3	5	5	3	10					NKC240801	26.4	35.0	6.58	98.8	8.08	18.80	22.4	20.80	20.67	0.087				N	0	6	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Low tide at 6:46 am, high tide at 2:34 pm; sunny and partly cloudy; low tide sampling; pre-sample turbidity blank 3 tries to get below 0.10-wiped with cloth and oil- used spare vial; brown water; 0.5-1.0 ft shorebreak, no wind; 4th turbidity =18.8
yes	yes	yes	no	no	117	North Kihei	NMS	EJ	JW	KG_MG	NKN	NKN240801		Kalepolepo North	2024-08-01	9:49	3	5	5	3	10					NKN240801	26.1	32.8	6.36	95.1	8.09	2.92	2.84	2.96	2.91	0.021				N	4	3	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Low tide at 6:46 am, high tide at 2:34 pm; sunny and partly cloudy; low tide sampling; pre-sample turbidity blank 3 tries to get below 0.10-wiped with cloth and oil- used spare vial; 0.5-1.0 ft shorebreak; slight breeze; 4th turbidity=3.23; 5th turbidity=2.84
yes	yes	yes	no	no	118	North Kihei	NMS	CK	DG	AH	NMH	NMH240822		Maalaea Harbor	2024-08-22	7:50	4	2	8	4	10					NMH240822	25.7	35.1	6.13	90.5	8.07	1.25	1.32	1.39	1.32	0.053				N	0	0	0	Very windy. 25 knot gusts NE trades. Choppy. 2-3ft swell outside of harbor breakwall. Tour boat activity. Sunny with clouds. 
yes	yes	yes	no	no	118	North Kihei	NMS	CK	DG	AH	NMC	NMC240822		Maalaea Condos	2024-08-22	8:15	4	2	8	4	10					NMC240822	25.7	35.0	6.80	100.7	8.07	5.16	5.09	5.30	5.18	0.021				N	0	0	0	Brown water nearshore 50ft. Sunny, partly cloudy. 2ft swell. Windy, trades ~10 knots. 4th turbidity reading = 5.30.
yes	yes	yes	no	no	118	North Kihei	NMS	CK	DG	AH	NHP	NHP240822		Haycraft Park	2024-08-22	8:35	4	2	8	4	10					NHP240822	26.3	35.4	6.44	96.6	8.10	3.44	3.43	3.25	3.37	0.032				N	0	4	0	Pretty clear water. Mostly wind-blocked. Breezy. Calm water nearshore. Occasionally 2ft swell. Shorebreak. Sunny, partly cloudy. 4th turbidity reading = 3.43. 5th turbidity reading = 2.65. 6th turbidity reading = 3.09. 7th turbidity reading = 2.92.
yes	yes	yes	no	no	118	North Kihei	NMS	CK	DG	AH	NKP	NKP240822		Kealia Pond	2024-08-22	9:05	4	2	8	4	10					NKP240822	26.6	35.9	6.67	100.6	8.15	1.44	1.45	1.43	1.44	0.007				N	0	5	0	Windy trades, 15+ knots. Clear water. 1ft shorebreak. Sunny, partly cloudy. 4th turbidity reading = 1.43.
yes	yes	yes	no	no	118	North Kihei	NMS	CK	DG	AH	NKC	NKC240822		Kihei Canoe Club	2024-08-22	9:20	4	2	8	4	10					NKC240822	27.7	35.5	6.53	100.3	8.12	13.9	14.2	11.8	13.3	0.098				N	0	0	0	Very brown water nearshore to 75ft out. No wind. Sunny, partly cloudy. 1ft shorebreak. Sailboat beached 1/2 mile south. Read temp 2x, confirmed temp. DO probe temp = 27.5. pH temp = 27.5. Brown grainy particles in turbidity vial. 4th turbidity reading = 13.9. 5th turbidity reading = 17.5. 6th turbidity reading = 14.2. 7th turbidity reading = 11.8. 
yes	yes	yes	no	no	118	North Kihei	NMS	CK	DG	AH	NKN	NKN240822		Kalepolepo North	2024-08-22	9:40	4	2	8	4	10					NKN240822	27.3	34.4	6.51	98.9	8.14	12.2	12.1	12.2	12.2	0.005				N	0	1	0	Very brown water nearshore to 50ft out. Low tide. 1ft shorebreak. Breezy, trades <5 knots. Sunny, partly cloudy. DO temp = 27.2. pH temp = 27.1. 4th turbidity reading = 12.2. 
yes	yes	yes	no	no	119	North Kihei	NMS	EJ	CK	HB	NMH	NMH240912		Maalaea Harbor	2024-09-12	7:50	3	5	5	3	11					NMH240912	26.9	37.4	6.04	92.5	8.09	0.94	0.90	1.13	0.99	0.124				N	0	0	0	Salinity probe read high at all sites; clear water, windy from the trades 5-10 knots, sunny, no swell, read salinity 2x- confirmed values; 4th turbidity reading-1.63, 5th turbidity reading-1.31
yes	yes	yes	no	no	119	North Kihei	NMS	EJ	CK	HB	NMC	NMC240912		Maalaea Condos	2024-09-12	8:17	3	5	5	3	11					NMC240912	27.1	36.0	6.66	101.8	8.05	1.59	1.82	1.71	1.71	0.067				N	1	1	0	Salinity probe read high at all sites; small puddle of water in revene, sunny, clear skies, <1ft shorebreak, breezy, very clear water; 4th turbidity reading-1.59; first pH reads were low and out of range, probe needs to be inserted all the way for accuracy
yes	yes	yes	no	no	119	North Kihei	NMS	EJ	CK	HB	NHP	NHP240912		Haycraft Park	2024-09-12	8:40	3	5	5	3	11					NHP240912	27.3	36.6	6.48	99.6	8.07	5.80	5.59	5.40	5.60	0.036				N	2	9	0	Salinity probe read high at all sites; sunny, few cloud, breezy from trades, 1ft shorebreak, calm water, nearshore lightly murky probably from shorebreak
yes	yes	yes	no	no	119	North Kihei	NMS	EJ	CK	HB	NKP	NKP240912		Kealia Pond	2024-09-12	9:10	3	5	5	3	11					NKP240912	27.3	37.2	6.57	101.6	8.09	2.38	2.39	2.54	2.44	0.037				N	0	2	0	Salinity probe read high at all sites; dive flag to 75 ft to the right of sample site, breezy trades, sunny, calm water, 1ft shorebreak stirred up sample
yes	yes	yes	no	no	119	North Kihei	NMS	EJ	CK	HB	NKC	NKC240912		Kihei Canoe Club	2024-09-12	9:30	3	5	5	3	11					NKC240912	28.0	37.0	6.54	102.1	8.08	5.73	5.55	4.93	5.40	0.078				N	0	0	0	Salinity probe read high at all sites; brown water nearshore to 25 ft + out, sunny, hot, no wind, calm water, 1ft shorebreak; 4th turbidity reading-4.93, 5th turbidity reading-6.47, 6th turbidity reading-8.45, 7th turbidity reading-5.55- larger particulates and flakes in turbidity vial; water pooled up in ravine, not connected to ocean
yes	yes	yes	no	no	119	North Kihei	NMS	EJ	CK	HB_LY	NKN	NKN240912		Kalepolepo North	2024-09-12	9:53	3	5	5	3	11					NKN240912	28.5	36.1	5.99	93.8	8.05	4.66	4.77	4.61	4.68	0.017				N	0	0	0	Salinity probe read high at all sites; breezy to no wind, sunny, calm ocean, brownish-murky water nearshore to 50 ft + out, suspended particulates in turbidity vial
yes	yes	yes	no	no	120	North Kihei	NMS	CK	AH	DG_IR	NMH	NMH241003		Maalaea Harbor	2024-10-03	7:53	4	2	8	4	10					NMH241003	26.5	35.7	5.99	90.2	8.09	1.28	1.30	1.21	1.26	0.037				N	0	0	0	Low tide. Murky water. Sunny. Windy. Boat getting ready to leave with passengers onboard next to sample site (engine off). Read DO temp 2x = 26.2. 4th turbidity reading = 1.46. 5th turbidity reading = 1.71. 6th turbidity reading = 1.05. 7th turbidity reading = 1.30. 
yes	yes	yes	no	no	120	North Kihei	NMS	CK	AH	DG_IR	NMC	NMC241003		Maalaea Condos	2024-10-03	8:17	4	2	8	4	10					NMC241003	26.1	35.0	7.12	106.5	8.06	5.60	4.79	5.25	5.21	0.078				N	0	0	0	Windy. Low tide. Little swell. 1ft shorebreak. Sunny. Pretty clear water. Read DO 2x, confirmed values. 4th turbidity reading = 5.60. 5th turbidity reading = 4.79.
yes	yes	yes	no	no	120	North Kihei	NMS	CK	AH	DG_IR	NHP	NHP241003		Haycraft Park	2024-10-03	8:37	4	2	8	4	10					NHP241003	26.5	36.0	6.59	99.7	8.12	3.84	3.91	3.95	3.90	0.014				N	0	5	0	Sunny. No wind. Pretty clear water. 1-2ft shorebreak. 4th turbidity reading = 3.84. 5th turbidity reading = 3.91.
yes	yes	yes	no	no	120	North Kihei	NMS	CK	AH	DG_IR	NKP	NKP241003		Kealia Pond	2024-10-03	9:00	4	2	8	4	10					NKP241003	27.0	36.4	6.61	100.9	8.14	0.66	0.73	0.79	0.73	0.090				N	2	6	0	Dive flag right next to sample site. Dog on beach. Sunny. Light breeze. Calm water. 1ft shorebreak. Clear water. 4th turbidity reading = 0.79. 
yes	yes	yes	no	no	120	North Kihei	NMS	CK	AH	DG_IR	NKC	NKC241003		Kihei Canoe Club	2024-10-03	9:20	4	2	8	4	10					NKC241003	27.4	35.9	6.50	99.8	8.13	11.4	11.9	11.6	11.6	0.022				N	0	0	0	Brown water nearshore as far as can see. 1-2ft shorebreak. Sunny. No wind. 4th turbidity reading = 11.6.
yes	yes	yes	no	no	120	North Kihei	NMS	CK	AH	DG_IR	NKN	NKN241003		Kalepolepo North	2024-10-03	9:39	4	2	8	4	10					NKN241003	27.3	34.4	6.14	93.3	8.13	4.09	4.15	4.39	4.21	0.038				N	0	5	0	Brown water nearshore. 1-2ft shorebreak. Light breeze. Calm water. Sunny. 4th turbidity reading = 4.09. 5th turbidity reading = 4.15. 6th turbidity reading = 4.39. 
yes	yes	yes	no	no	121	North Kihei	NMS	CK	AH	DG_PJ	NMH	NMH241024		Maalaea Harbor	2024-10-24	7:55	3	2	5	3	11					NMH241024	26.2	36.2	5.96	89.5	8.16	0.62	0.76	0.64	0.67	0.112				N	0	0	0	Windy. 10 knots. Sunny. Tour boat parked, passengers loaded. No swell. Clear water. Read DO temp 2x = 25.9. Salinity probe #10 = 35.9ppt, 26.0C. 4th turbidity reading = 0.76. 
yes	yes	yes	no	no	121	North Kihei	NMS	CK	AH	DG_PJ	NMC	NMC241024		Maalaea Condos	2024-10-24	8:25	3	2	5	3	11					NMC241024	26.3	35.5	6.95	104.4	8.05	3.00	2.86	2.97	2.94	0.025				N	0	0	0	1ft swell. Sunny, getting hot. Light breeze. Calm water. Seafoam at sample site. High tide. Pretty clear water. 2 turtles on the beach. Read DO Temp = 26.1C. Salinity probe #10 = 35.2ppt, 26.2C. 4th turbidity reading = 3.00.
yes	yes	yes	no	no	121	North Kihei	NMS	CK	AH	DG_PJ	NHP	NHP241024		Haycraft Park	2024-10-24	8:45	3	2	5	3	11					NHP241024	26.6	36.8	6.51	99.1	8.16	4.12	4.09	4.35	4.19	0.034				N	1	4	1	1ft swell/shorebreak. No wind. Glassy water. Sunny, hot. Clear water. Salinity probe #10 = 36.5ppt, 26.5C. 
yes	yes	yes	no	no	121	North Kihei	NMS	CK	AH	DG_PJ	NKP	NKP241024		Kealia Pond	2024-10-24	9:10	3	2	5	3	11					NKP241024	26.7	37.0	6.54	99.8	8.17	0.94	0.83	0.90	0.89	0.063				N	1	1	0	Scuba flag 75ft to the right of samplers. 2 active fishing poles down the beach to the left. Very light breeze. Sunny, hot. 1ft shorebreak. Very clear water. Salinity probe #10 = 36.8ppt, 26.6C. 
yes	yes	yes	no	no	121	North Kihei	NMS	CK	AH	DG_PJ	NKC	NKC241024		Kihei Canoe Club	2024-10-24	9:30	3	2	5	3	11					NKC241024	27.6	36.9	6.43	99.5	8.15	3.06	2.99	2.78	2.94	0.050				N	5	5	0	1ft shorebreak. No wind. Glassy water. Sunny, hot. Clear water nearshore, brown hue 10ft out. Salinity probe #10 = 36.6ppt, 27.5C. 4th turbidity reading = 2.99. 5th turbidity reading = 4.87. 6th turbidity reading = 2.78. 
yes	yes	yes	no	no	121	North Kihei	NMS	CK	AH	DG_PJ	NKN	NKN241024		Kalepolepo North	2024-10-24	9:50	3	2	5	3	11					NKN241024	27.7	36.5	5.90	91.3	8.13	2.83	2.71	3.17	2.90	0.082				N	0	2	0	Clear water nearshore, brown hue 10ft out. 1ft shorebreak. Glassy water. No wind. Sunny, hot. Sand in turbidity sample & bucket sample. Salinity probe #10 = 36.2ppt, 27.7C. 4th turbidity reading = 3.73. 5th turbidity reading = 6.35. 6th turbidity reading = 2.71. 
yes	yes	yes	no	no	122	North Kihei	NMS	CK	IR_PJ	AH	NMH	NMH241114		Maalaea Harbor	2024-11-14	7:55	4	2	8	4	10					NMH241114	25.0	36.4	6.14	90.5	8.10	1.24	1.35	1.46	1.35	0.081				N	0	0	0	Extreme wind 30+ knots. Boat docked next to site. Very choppy water. Low tide. Sunny. 4th turbidity reading = 1.65. 5th turbidity reading = 1.95. 6th turbidity reading = 1.24.
yes	yes	yes	no	no	122	North Kihei	NMS	CK	IR_PJ	AH	NMC	NMC241114		Maalaea Condos	2024-11-14	8:25	4	2	8	4	10					NMC241114	24.5	35.1	7.33	106.5	8.12	2.50	2.28	2.23	2.34	0.061				N	0	0	0	Very windy 30+ knots. Sunny. Low tide. Pretty clear water. No swell. Lots of green and brown seaweed on the rocks. Spoke to property manager from Maui Island Sands Resort (Kevin, 808-268-1085). Permanently closed beach access in the next couple of weeks. Alternative beach access options with Maalaea Banyans (Tom), Lauloa, or county easement. Read DO 2nd time, confirmed values. 4th turbidity reading = 1.73. 5th turbidity reading = 4.10. 6th turbidity reading = 2.23.
yes	yes	yes	no	no	122	North Kihei	NMS	CK	IR_PJ	AH_NC	NHP	NHP241114		Haycraft Park	2024-11-14	9:00	4	2	8	4	10					NHP241114	25.2	36.2	6.37	94.0	8.12	1.82	1.87	1.75	1.81	0.033				N	0	0	1	Windy. Sunny. No swell. Clear water. No clouds. Low tide. New coastal dune restoration. 
yes	yes	yes	no	no	122	North Kihei	NMS	CK	IR_PJ	AH_NC	NKP	NKP241114		Kealia Pond	2024-11-14	9:32	4	2	8	4	10					NKP241114	26.0	37.0	6.52	97.9	8.15	0.88	0.89	0.84	0.87	0.030				N	0	0	0	Very windy. Very choppy water. Clear water. Sunny. Low tide. 4th turbidity reading = 0.84. 
yes	yes	yes	no	no	122	North Kihei	NMS	CK	IR_PJ	AH_NC	NKC	NKC241114		Kihei Canoe Club	2024-11-14	9:53	4	2	8	4	10					NKC241114	26.2	36.4	6.46	97.2	8.16	4.61	4.17	4.53	4.44	0.053				N	0	4	0	Clearish, but brown hue water clarity. Breezy. Choppy water outer ocean. Water moving south. Sunny. Lots of floating particulates (large brown specks) in the turbidity vial. 4th turbidity reading = 6.38. 5th turbidity reading = 4.61. 6th turbidity reading = 4.53. 
